Name,Wins,Losses,Games Played,Win %,Score
/PLATINUM,DDDDDD,000000
Bread,43,3,46,93,1846
/GOLD,CCBB33,BB0000
Zigzagoon,16,4,20,80,1782
Syke,18,4,22,81,1593
Baker,14,4,18,77,1565
/SILVER,888888,000066
Naotis,20,10,30,66,1494
Nebula,10,5,15,66,1458
Corey B,28,17,45,62,1422
Kam M,9,5,14,64,1389
Ennbeard,3,2,5,60,1388
Ashley,14,10,24,58,1326
Bast,3,2,5,60,1308
Ryan W,8,4,12,66,1304
Kultar,25,18,43,58,1302
