"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","Mason","","1","7","0","8","12","237","04/12/2014 12:00:00 AM"
"","Tiggs","","1","13","0","14","7","237","04/12/2014 12:00:00 AM"
"","SomethingRandom","","1","2","0","3","33","237","04/12/2014 12:00:00 AM"
"","PlatPlat","","1","4","0","5","20","234","21/12/2014 12:00:00 AM"
"","Rain Runner","","1","4","0","5","20","233","21/12/2014 12:00:00 AM"
"","Elias","","2","5","0","7","28","212","04/12/2014 12:00:00 AM"
"","Foolhardy","","1","15","0","16","6","199","04/12/2014 12:00:00 AM"
"","CS","","0","7","0","7","0","187","04/12/2014 12:00:00 AM"
"","Chris","","1","2","0","3","33","183","04/12/2014 12:00:00 AM"
"","Mr. President","","0","2","0","2","0","179","04/12/2014 12:00:00 AM"
"","Calvin Wong","","1","4","0","5","20","177","04/12/2014 12:00:00 AM"
"","Aerous","","0","2","0","2","0","176","04/12/2014 12:00:00 AM"
"","Bonkinator","","1","2","0","3","33","174","04/12/2014 12:00:00 AM"
"","Prism","","2","13","0","15","13","173","04/12/2014 12:00:00 AM"
"","Mish","","0","4","0","4","0","164","04/12/2014 12:00:00 AM"
"","BoxSalt","","0","8","0","8","0","147","09/01/2015 12:00:00 AM"
"","Spunky","","0","6","0","6","0","145","04/12/2014 12:00:00 AM"
"","ill","","0","6","0","6","0","145","03/01/2015 12:00:00 AM"
"","Churly","","0","2","0","2","0","130","04/12/2014 12:00:00 AM"
"","JonMac","","0","8","0","8","0","130","09/01/2015 12:00:00 AM"
"","Big K.O. ","","0","5","0","5","0","129","04/12/2014 12:00:00 AM"
"","Zap","","1","7","0","8","12","128","04/12/2014 12:00:00 AM"
"","TPar","","0","5","0","5","0","124","04/12/2014 12:00:00 AM"
"","Passive","","0","2","0","2","0","122","04/12/2014 12:00:00 AM"
"","CPU","","0","2","0","2","0","120","04/12/2014 12:00:00 AM"
"","Pyrite","","1","7","0","8","12","118","04/12/2014 12:00:00 AM"
"","backtrackker","","0","2","0","2","0","108","04/12/2014 12:00:00 AM"
"","Laobao","","1","2","0","3","33","94","04/12/2014 12:00:00 AM"
"","mac attack","","0","2","0","2","0","92","04/12/2014 12:00:00 AM"
"","Trig","","0","2","0","2","0","91","04/12/2014 12:00:00 AM"
"","Deef","","0","5","0","5","0","90","04/12/2014 12:00:00 AM"
"","xemasklyr","","0","4","0","4","0","84","04/12/2014 12:00:00 AM"
"","Apex","","0","6","0","6","0","75","04/12/2014 12:00:00 AM"
"","Binky","","1","4","0","5","20","74","04/12/2014 12:00:00 AM"
"","Boss","","0","7","0","7","0","70","04/12/2014 12:00:00 AM"
"","Madg","","0","2","0","2","0","68","04/12/2014 12:00:00 AM"
"","Captain Cardinal","","1","5","0","6","16","64","04/12/2014 12:00:00 AM"
"","Ghost","","0","4","0","4","0","63","04/12/2014 12:00:00 AM"
"","Chewi","","0","9","0","9","0","63","05/12/2014 12:00:00 AM"
"","Kelvin","","1","9","0","10","10","60","21/12/2014 12:00:00 AM"
"","jason","","0","2","0","2","0","51","04/12/2014 12:00:00 AM"
"","Groose","","0","6","0","6","0","50","04/12/2014 12:00:00 AM"
"","J-Rod","","1","4","0","5","20","48","04/12/2014 12:00:00 AM"
"","Paracolor","","0","2","0","2","0","46","04/12/2014 12:00:00 AM"
"","Latromi","","3","38","0","41","7","45","05/12/2014 12:00:00 AM"
"","MrDoCut","","0","2","0","2","0","42","04/12/2014 12:00:00 AM"
"","Explosive Ghosts","","0","7","0","7","0","39","04/12/2014 12:00:00 AM"
"","Arial Hawk","","0","2","0","2","0","39","04/12/2014 12:00:00 AM"
"","SeanB","","1","5","0","6","16","38","04/12/2014 12:00:00 AM"
"","Lan","","0","2","0","2","0","33","04/12/2014 12:00:00 AM"
"","RaidenUKE","","0","6","0","6","0","20","04/12/2014 12:00:00 AM"
"","Scott","","0","3","0","3","0","14","04/12/2014 12:00:00 AM"
"","Crimes","","0","2","0","2","0","10","04/12/2014 12:00:00 AM"
"","Adam","","0","5","0","5","0","9","04/12/2014 12:00:00 AM"
"","Rise Above","","0","6","0","6","0","7","04/12/2014 12:00:00 AM"
"","Morm","","1","2","0","3","33","1","04/12/2014 12:00:00 AM"
"","Ant","","0","3","0","3","0","0","04/12/2014 12:00:00 AM"
"","Stuv","","0","5","0","5","0","0","21/12/2014 12:00:00 AM"
"","Jimbro","","0","5","0","5","0","0","21/12/2014 12:00:00 AM"
"","Masterblaster","","1","3","0","4","25","0","05/12/2014 12:00:00 AM"
"","Ghoul","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","SpaceRanger91","","1","8","0","9","11","0","04/12/2014 12:00:00 AM"
"","CruX","","0","6","0","6","0","0","04/12/2014 12:00:00 AM"
"","Hawk","","0","4","0","4","0","0","04/12/2014 12:00:00 AM"
"","Dank","","0","8","0","8","0","0","04/12/2014 12:00:00 AM"
"","Mr. BLT","","0","2","0","2","0","0","04/12/2014 12:00:00 AM"
