"Team","Name","Characters","Wins","Losses","Draws","Total Played","Win %","Score","Last Match"
"","Qwuv","","5","6","0","11","45","1121","04/12/2014 12:00:00 AM"
"","MattP","","3","2","0","5","60","1113","04/12/2014 12:00:00 AM"
"","Lopez","","7","22","0","29","24","1113","04/12/2014 12:00:00 AM"
"","RyanH","","3","6","0","9","33","1091","04/12/2014 12:00:00 AM"
"","Khillasaurus","","22","52","0","74","29","1089","04/01/2015 3:08:17 PM"
"","RawCloudZero","","9","13","0","22","40","1089","04/12/2014 12:00:00 AM"
"","NeonBlack","","3","4","0","7","42","1087","04/12/2014 12:00:00 AM"
"","Wamsa","","5","14","0","19","26","1083","09/01/2015 12:00:00 AM"
"","ThisIs","","4","1","0","5","80","1079","04/12/2014 12:00:00 AM"
"","Brebz","","3","4","0","7","42","1072","05/12/2014 12:00:00 AM"
"","DLES","","2","8","0","10","20","1069","04/12/2014 12:00:00 AM"
"","Jomzy","","3","13","0","16","18","1067","04/12/2014 12:00:00 AM"
"","Tim To","","5","9","0","14","35","1060","04/12/2014 12:00:00 AM"
"","Vile","","3","8","0","11","27","1058","04/12/2014 12:00:00 AM"
"","Ivan","","2","5","0","7","28","1042","04/12/2014 12:00:00 AM"
"","Escalator Boy","","5","9","0","14","35","1036","04/12/2014 12:00:00 AM"
"","Nicka","","14","38","0","52","26","1033","05/12/2014 12:00:00 AM"
"","N","","11","31","0","42","26","1028","04/01/2015 3:08:17 PM"
"","mtagstyle","","3","6","0","9","33","1023","04/12/2014 12:00:00 AM"
"","SwiggitySwooty","","8","16","0","24","33","1019","04/01/2015 3:08:17 PM"
"","Fruitsations","","5","14","0","19","26","1018","04/12/2014 12:00:00 AM"
"","Tank","","2","6","0","8","25","1015","04/12/2014 12:00:00 AM"
"","Whist","","4","3","0","7","57","1015","04/12/2014 12:00:00 AM"
"","Desu","","7","15","0","22","31","1004","04/12/2014 12:00:00 AM"
"","Cale","","12","31","0","43","27","1003","04/01/2015 3:08:17 PM"
"","Turbo Scrub","","2","2","0","4","50","996","04/12/2014 12:00:00 AM"
"","Tiger","","6","9","0","15","40","995","04/12/2014 12:00:00 AM"
"","Wolfe","","3","4","0","7","42","992","04/12/2014 12:00:00 AM"
"","Novista","","4","9","0","13","30","986","04/12/2014 12:00:00 AM"
"","ButtNuster","","14","34","0","48","29","972","04/12/2014 12:00:00 AM"
"","Draco","","5","7","0","12","41","971","04/12/2014 12:00:00 AM"
"","Baker","","5","17","0","22","22","966","04/12/2014 12:00:00 AM"
"","Mastodon","","5","15","0","20","25","950","05/12/2014 12:00:00 AM"
"","Cepton","","4","12","0","16","25","945","04/12/2014 12:00:00 AM"
"","BoldPylon","","3","5","0","8","37","942","04/12/2014 12:00:00 AM"
"","QAZ","","3","9","0","12","25","940","04/12/2014 12:00:00 AM"
"","Mr. To","","2","3","0","5","40","935","04/12/2014 12:00:00 AM"
"","Robocop","","1","2","0","3","33","934","04/12/2014 12:00:00 AM"
"","Sketch","","3","4","0","7","42","928","21/12/2014 12:00:00 AM"
"","Fred","","2","3","0","5","40","916","04/12/2014 12:00:00 AM"
"","Jamal","","3","6","0","9","33","902","04/12/2014 12:00:00 AM"
"","Strudel","","8","31","0","39","20","902","09/01/2015 12:00:00 AM"
"","indigo","","2","5","0","7","28","899","04/12/2014 12:00:00 AM"
"","Fosh","","2","2","0","4","50","892","04/12/2014 12:00:00 AM"
"","GreenT","","10","29","0","39","25","891","21/12/2014 12:00:00 AM"
"","JosePonyPants","","4","5","0","9","44","884","04/12/2014 12:00:00 AM"
"","RJM","","3","10","0","13","23","871","04/12/2014 12:00:00 AM"
"","MDMike","","3","4","0","7","42","866","04/12/2014 12:00:00 AM"
"","MonkeyMandibles","","3","4","0","7","42","861","21/12/2014 12:00:00 AM"
"","Kehorie","","5","9","0","14","35","855","21/12/2014 12:00:00 AM"
"","SlayerBoy","","3","3","0","6","50","855","04/01/2015 3:08:17 PM"
"","Kcurb","","8","15","0","23","34","854","21/12/2014 12:00:00 AM"
"","Yzus","","3","6","0","9","33","853","04/12/2014 12:00:00 AM"
"","MikeAruba","","2","3","0","5","40","845","04/12/2014 12:00:00 AM"
"","Dumber child","","2","1","0","3","66","834","04/12/2014 12:00:00 AM"
"","Thread","","2","2","0","4","50","829","05/12/2014 12:00:00 AM"
"","TGD","","6","10","0","16","37","825","04/12/2014 12:00:00 AM"
"","Cody","","2","4","0","6","33","809","04/12/2014 12:00:00 AM"
"","Dr.Nono","","8","31","0","39","20","802","21/12/2014 12:00:00 AM"
"","Nitro","","3","15","0","18","16","800","09/01/2015 12:00:00 AM"
"","Kasko","","2","11","0","13","15","783","04/12/2014 12:00:00 AM"
"","Ping","","2","3","0","5","40","773","04/12/2014 12:00:00 AM"
"","Yam Fries ","","1","2","0","3","33","772","04/12/2014 12:00:00 AM"
"","Progue","","2","4","0","6","33","760","05/12/2014 12:00:00 AM"
"","WoodCocker","","3","10","0","13","23","753","04/12/2014 12:00:00 AM"
"","Pollyllop","","3","5","0","8","37","752","04/01/2015 3:08:17 PM"
"","Will","","2","5","0","7","28","746","04/12/2014 12:00:00 AM"
"","Scrambles","","3","6","0","9","33","743","04/12/2014 12:00:00 AM"
"","Akaio","","6","16","0","22","27","739","04/12/2014 12:00:00 AM"
"","Goonu","","6","19","0","25","24","736","04/12/2014 12:00:00 AM"
"","Maplekid","","3","10","0","13","23","736","04/12/2014 12:00:00 AM"
"","Wagner","","1","2","0","3","33","734","04/12/2014 12:00:00 AM"
"","Lobos","","3","6","0","9","33","733","06/12/2014 12:00:00 AM"
"","Vera","","5","13","0","18","27","730","04/12/2014 12:00:00 AM"
"","Aloof","","2","5","0","7","28","724","04/12/2014 12:00:00 AM"
